episode: 2040, score: 500.0, epsilon: 0.01
episode: 2045, score: 500.0, epsilon: 0.01
episode: 2050, score: 250.0, epsilon: 0.01
episode: 2055, score: 750.0, epsilon: 0.01
episode: 2060, score: 500.0, epsilon: 0.01
episode: 2065, score: 500.0, epsilon: 0.01
episode: 2070, score: 600.0, epsilon: 0.01
episode: 2075, score: 500.0, epsilon: 0.01
episode: 2080, score: 750.0, epsilon: 0.01
episode: 2085, score: 500.0, epsilon: 0.01
episode: 2090, score: 750.0, epsilon: 0.01
episode: 2095, score: 750.0, epsilon: 0.01
marking, episode: 2100, score: 500.0, mean_score: 547.50, std_score: 273.90
episode: 2100, score: 500.0, epsilon: 0.01
episode: 2105, score: 500.0, epsilon: 0.01
episode: 2110, score: 600.0, epsilon: 0.01
episode: 2115, score: 1100.0, epsilon: 0.01
episode: 2120, score: 100.0, epsilon: 0.01
episode: 2125, score: 450.0, epsilon: 0.01
episode: 2130, score: 500.0, epsilon: 0.01
episode: 2135, score: 500.0, epsilon: 0.01
episode: 2140, score: 500.0, epsilon: 0.01
episode: 2145, score: 500.0, epsilon: 0.01
episode: 2150, score: 750.0, epsilon: 0.01
episode: 2155, score: 500.0, epsilon: 0.01
episode: 2160, score: 700.0, epsilon: 0.01
episode: 2165, score: 950.0, epsilon: 0.01
episode: 2170, score: 600.0, epsilon: 0.01
episode: 2175, score: 0.0, epsilon: 0.01
episode: 2180, score: 850.0, epsilon: 0.01
episode: 2185, score: 250.0, epsilon: 0.01
episode: 2190, score: 500.0, epsilon: 0.01
episode: 2195, score: 250.0, epsilon: 0.01
marking, episode: 2200, score: 600.0, mean_score: 580.50, std_score: 238.21
episode: 2200, score: 600.0, epsilon: 0.01
episode: 2205, score: 500.0, epsilon: 0.01
episode: 2210, score: 750.0, epsilon: 0.01
episode: 2215, score: 850.0, epsilon: 0.01
episode: 2220, score: 500.0, epsilon: 0.01
episode: 2225, score: 850.0, epsilon: 0.01
episode: 2230, score: 1200.0, epsilon: 0.01
episode: 2235, score: 850.0, epsilon: 0.01
episode: 2240, score: 500.0, epsilon: 0.01
episode: 2245, score: 250.0, epsilon: 0.01
episode: 2250, score: 350.0, epsilon: 0.01
episode: 2255, score: 850.0, epsilon: 0.01
episode: 2260, score: 700.0, epsilon: 0.01
