episode: 11630, score: 2000.0, epsilon: 0.01
episode: 11635, score: 1000.0, epsilon: 0.01
episode: 11640, score: 2500.0, epsilon: 0.01
episode: 11645, score: 2000.0, epsilon: 0.01
episode: 11650, score: 2000.0, epsilon: 0.01
episode: 11655, score: 2000.0, epsilon: 0.01
episode: 11660, score: 2000.0, epsilon: 0.01
episode: 11665, score: 2000.0, epsilon: 0.01
episode: 11670, score: 2000.0, epsilon: 0.01
episode: 11675, score: 2000.0, epsilon: 0.01
episode: 11680, score: 2000.0, epsilon: 0.01
episode: 11685, score: 750.0, epsilon: 0.01
episode: 11690, score: 2000.0, epsilon: 0.01
episode: 11695, score: 2000.0, epsilon: 0.01
marking, episode: 11700, score: 2350.0, mean_score: 1855.50, std_score: 519.85
episode: 11700, score: 2350.0, epsilon: 0.01
episode: 11705, score: 750.0, epsilon: 0.01
episode: 11710, score: 2000.0, epsilon: 0.01
episode: 11715, score: 2000.0, epsilon: 0.01
episode: 11720, score: 2250.0, epsilon: 0.01
episode: 11725, score: 0.0, epsilon: 0.01
episode: 11730, score: 2100.0, epsilon: 0.01
episode: 11735, score: 2000.0, epsilon: 0.01
episode: 11740, score: 2100.0, epsilon: 0.01
episode: 11745, score: 2100.0, epsilon: 0.01
episode: 11750, score: 2000.0, epsilon: 0.01
episode: 11755, score: 1000.0, epsilon: 0.01
episode: 11760, score: 2000.0, epsilon: 0.01
episode: 11765, score: 2000.0, epsilon: 0.01
episode: 11770, score: 750.0, epsilon: 0.01
episode: 11775, score: 2000.0, epsilon: 0.01
episode: 11780, score: 2000.0, epsilon: 0.01
episode: 11785, score: 2200.0, epsilon: 0.01
episode: 11790, score: 2000.0, epsilon: 0.01
episode: 11795, score: 2000.0, epsilon: 0.01
marking, episode: 11800, score: 500.0, mean_score: 1626.50, std_score: 664.62
episode: 11800, score: 500.0, epsilon: 0.01
episode: 11805, score: 2000.0, epsilon: 0.01
episode: 11810, score: 2000.0, epsilon: 0.01
episode: 11815, score: 750.0, epsilon: 0.01
episode: 11820, score: 2000.0, epsilon: 0.01
episode: 11825, score: 1000.0, epsilon: 0.01
episode: 11830, score: 2100.0, epsilon: 0.01
episode: 11835, score: 2000.0, epsilon: 0.01
episode: 11840, score: 2000.0, epsilon: 0.01
episode: 11845, score: 2000.0, epsilon: 0.01
episode: 11850, score: 2000.0, epsilon: 0.01
episode: 11855, score: 750.0, epsilon: 0.01
episode: 11860, score: 2000.0, epsilon: 0.01
episode: 11865, score: 1000.0, epsilon: 0.01
episode: 11870, score: 1000.0, epsilon: 0.01
episode: 11875, score: 2000.0, epsilon: 0.01
episode: 11880, score: 2100.0, epsilon: 0.01
episode: 11885, score: 2000.0, epsilon: 0.01
episode: 11890, score: 2350.0, epsilon: 0.01
episode: 11895, score: 1100.0, epsilon: 0.01
marking, episode: 11900, score: 2000.0, mean_score: 1713.00, std_score: 557.16
episode: 11900, score: 2000.0, epsilon: 0.01
episode: 11905, score: 1000.0, epsilon: 0.01
episode: 11910, score: 2000.0, epsilon: 0.01
episode: 11915, score: 2250.0, epsilon: 0.01
episode: 11920, score: 2100.0, epsilon: 0.01
episode: 11925, score: 2000.0, epsilon: 0.01
episode: 11930, score: 2100.0, epsilon: 0.01
episode: 11935, score: 2100.0, epsilon: 0.01
episode: 11940, score: 2000.0, epsilon: 0.01
episode: 11945, score: 2100.0, epsilon: 0.01
episode: 11950, score: 2000.0, epsilon: 0.01
episode: 11955, score: 2000.0, epsilon: 0.01
episode: 11960, score: 2000.0, epsilon: 0.01
episode: 11965, score: 2000.0, epsilon: 0.01
episode: 11970, score: 2000.0, epsilon: 0.01
episode: 11975, score: 2000.0, epsilon: 0.01
episode: 11980, score: 1000.0, epsilon: 0.01
episode: 11985, score: 2000.0, epsilon: 0.01
episode: 11990, score: 2000.0, epsilon: 0.01
episode: 11995, score: 2000.0, epsilon: 0.01
marking, episode: 12000, score: 750.0, mean_score: 1745.50, std_score: 553.31
episode: 12000, score: 750.0, epsilon: 0.01
episode: 12005, score: 750.0, epsilon: 0.01
episode: 12010, score: 2000.0, epsilon: 0.01
episode: 12015, score: 2100.0, epsilon: 0.01
episode: 12020, score: 2100.0, epsilon: 0.01
episode: 12025, score: 2250.0, epsilon: 0.01
episode: 12030, score: 2100.0, epsilon: 0.01
episode: 12035, score: 2000.0, epsilon: 0.01
episode: 12040, score: 750.0, epsilon: 0.01
episode: 12045, score: 2000.0, epsilon: 0.01
episode: 12050, score: 750.0, epsilon: 0.01
episode: 12055, score: 750.0, epsilon: 0.01
episode: 12060, score: 750.0, epsilon: 0.01
episode: 12065, score: 2000.0, epsilon: 0.01
episode: 12070, score: 2100.0, epsilon: 0.01
episode: 12075, score: 2000.0, epsilon: 0.01
episode: 12080, score: 2100.0, epsilon: 0.01
episode: 12085, score: 2000.0, epsilon: 0.01
episode: 12090, score: 2000.0, epsilon: 0.01
episode: 12095, score: 2000.0, epsilon: 0.01
marking, episode: 12100, score: 0.0, mean_score: 1721.00, std_score: 603.87
episode: 12100, score: 0.0, epsilon: 0.01
episode: 12105, score: 1000.0, epsilon: 0.01
episode: 12110, score: 750.0, epsilon: 0.01
episode: 12115, score: 2300.0, epsilon: 0.01
episode: 12120, score: 2000.0, epsilon: 0.01
episode: 12125, score: 2000.0, epsilon: 0.01
episode: 12130, score: 2350.0, epsilon: 0.01
episode: 12135, score: 750.0, epsilon: 0.01
episode: 12140, score: 2000.0, epsilon: 0.01
episode: 12145, score: 2100.0, epsilon: 0.01
episode: 12150, score: 2000.0, epsilon: 0.01
episode: 12155, score: 2000.0, epsilon: 0.01
episode: 12160, score: 2100.0, epsilon: 0.01
episode: 12165, score: 500.0, epsilon: 0.01
episode: 12170, score: 2000.0, epsilon: 0.01
episode: 12175, score: 2000.0, epsilon: 0.01
episode: 12180, score: 1100.0, epsilon: 0.01
episode: 12185, score: 2000.0, epsilon: 0.01
episode: 12190, score: 2000.0, epsilon: 0.01
episode: 12195, score: 2000.0, epsilon: 0.01
marking, episode: 12200, score: 2100.0, mean_score: 1655.00, std_score: 584.40
episode: 12200, score: 2100.0, epsilon: 0.01
episode: 12205, score: 1100.0, epsilon: 0.01
episode: 12210, score: 750.0, epsilon: 0.01
episode: 12215, score: 2000.0, epsilon: 0.01
episode: 12220, score: 2000.0, epsilon: 0.01
episode: 12225, score: 1000.0, epsilon: 0.01
episode: 12230, score: 2000.0, epsilon: 0.01
episode: 12235, score: 750.0, epsilon: 0.01
episode: 12240, score: 2000.0, epsilon: 0.01
episode: 12245, score: 250.0, epsilon: 0.01
episode: 12250, score: 2000.0, epsilon: 0.01
episode: 12255, score: 2000.0, epsilon: 0.01
episode: 12260, score: 2100.0, epsilon: 0.01
episode: 12265, score: 750.0, epsilon: 0.01
episode: 12270, score: 1000.0, epsilon: 0.01
episode: 12275, score: 750.0, epsilon: 0.01
episode: 12280, score: 2000.0, epsilon: 0.01
episode: 12285, score: 2000.0, epsilon: 0.01
episode: 12290, score: 2000.0, epsilon: 0.01
episode: 12295, score: 750.0, epsilon: 0.01
marking, episode: 12300, score: 2000.0, mean_score: 1611.00, std_score: 583.93
episode: 12300, score: 2000.0, epsilon: 0.01
episode: 12305, score: 2000.0, epsilon: 0.01
episode: 12310, score: 2000.0, epsilon: 0.01
episode: 12315, score: 2000.0, epsilon: 0.01
episode: 12320, score: 2100.0, epsilon: 0.01
episode: 12325, score: 2000.0, epsilon: 0.01
episode: 12330, score: 500.0, epsilon: 0.01
episode: 12335, score: 1000.0, epsilon: 0.01
episode: 12340, score: 2250.0, epsilon: 0.01
episode: 12345, score: 2000.0, epsilon: 0.01
episode: 12350, score: 2000.0, epsilon: 0.01
episode: 12355, score: 2100.0, epsilon: 0.01
episode: 12360, score: 1000.0, epsilon: 0.01
episode: 12365, score: 2000.0, epsilon: 0.01
episode: 12370, score: 2000.0, epsilon: 0.01
episode: 12375, score: 2000.0, epsilon: 0.01
episode: 12380, score: 2250.0, epsilon: 0.01
episode: 12385, score: 2100.0, epsilon: 0.01
episode: 12390, score: 750.0, epsilon: 0.01
episode: 12395, score: 2000.0, epsilon: 0.01
marking, episode: 12400, score: 2000.0, mean_score: 1585.00, std_score: 662.97
episode: 12400, score: 2000.0, epsilon: 0.01
episode: 12405, score: 750.0, epsilon: 0.01
episode: 12410, score: 2000.0, epsilon: 0.01
episode: 12415, score: 2100.0, epsilon: 0.01
episode: 12420, score: 500.0, epsilon: 0.01
episode: 12425, score: 2000.0, epsilon: 0.01
episode: 12430, score: 2000.0, epsilon: 0.01
episode: 12435, score: 2100.0, epsilon: 0.01
episode: 12440, score: 2000.0, epsilon: 0.01
episode: 12445, score: 2000.0, epsilon: 0.01
episode: 12450, score: 1000.0, epsilon: 0.01
episode: 12455, score: 2000.0, epsilon: 0.01
episode: 12460, score: 500.0, epsilon: 0.01
episode: 12465, score: 2000.0, epsilon: 0.01
episode: 12470, score: 2000.0, epsilon: 0.01
episode: 12475, score: 2000.0, epsilon: 0.01
episode: 12480, score: 2100.0, epsilon: 0.01
episode: 12485, score: 1000.0, epsilon: 0.01
episode: 12490, score: 2000.0, epsilon: 0.01
episode: 12495, score: 500.0, epsilon: 0.01
marking, episode: 12500, score: 1000.0, mean_score: 1676.50, std_score: 610.71
episode: 12500, score: 1000.0, epsilon: 0.01
episode: 12505, score: 750.0, epsilon: 0.01
episode: 12510, score: 2000.0, epsilon: 0.01
episode: 12515, score: 2000.0, epsilon: 0.01
episode: 12520, score: 2000.0, epsilon: 0.01
episode: 12525, score: 2000.0, epsilon: 0.01
episode: 12530, score: 2000.0, epsilon: 0.01
episode: 12535, score: 2000.0, epsilon: 0.01
episode: 12540, score: 2000.0, epsilon: 0.01
episode: 12545, score: 750.0, epsilon: 0.01
episode: 12550, score: 2000.0, epsilon: 0.01
episode: 12555, score: 2100.0, epsilon: 0.01
episode: 12560, score: 750.0, epsilon: 0.01
episode: 12565, score: 600.0, epsilon: 0.01
episode: 12570, score: 2000.0, epsilon: 0.01
episode: 12575, score: 2000.0, epsilon: 0.01
episode: 12580, score: 1100.0, epsilon: 0.01
episode: 12585, score: 750.0, epsilon: 0.01
episode: 12590, score: 2200.0, epsilon: 0.01
episode: 12595, score: 2250.0, epsilon: 0.01
marking, episode: 12600, score: 2000.0, mean_score: 1571.50, std_score: 617.26
episode: 12600, score: 2000.0, epsilon: 0.01
episode: 12605, score: 2000.0, epsilon: 0.01
episode: 12610, score: 2000.0, epsilon: 0.01
episode: 12615, score: 1000.0, epsilon: 0.01
episode: 12620, score: 2000.0, epsilon: 0.01
episode: 12625, score: 750.0, epsilon: 0.01
episode: 12630, score: 2000.0, epsilon: 0.01
episode: 12635, score: 750.0, epsilon: 0.01
episode: 12640, score: 0.0, epsilon: 0.01
episode: 12645, score: 750.0, epsilon: 0.01
episode: 12650, score: 2000.0, epsilon: 0.01
episode: 12655, score: 2000.0, epsilon: 0.01
episode: 12660, score: 2000.0, epsilon: 0.01
episode: 12665, score: 1000.0, epsilon: 0.01
episode: 12670, score: 2250.0, epsilon: 0.01
episode: 12675, score: 2000.0, epsilon: 0.01
episode: 12680, score: 2000.0, epsilon: 0.01
episode: 12685, score: 1000.0, epsilon: 0.01
episode: 12690, score: 2000.0, epsilon: 0.01
episode: 12695, score: 2000.0, epsilon: 0.01
marking, episode: 12700, score: 2250.0, mean_score: 1692.00, std_score: 593.28
